City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,castiglion fiorentino,43.3428,11.918,37.99,86,24,5.5,IT,1610408242
280,ereymentau,51.6199,73.1033,8.78,90,100,10.04,KZ,1610408242
281,husavik,66.0449,-17.3389,10.4,92,0,2.3,IS,1610408242
282,mariental,-24.6333,17.9667,71.98,74,93,11.5,NA,1610408243
283,pangnirtung,66.1451,-65.7125,1.4,85,75,1.03,CA,1610408243
284,sao filipe,14.8961,-24.4956,70.07,74,40,16.75,CV,1610408190
285,korla,41.7597,86.1469,11.79,85,0,7.0,CN,1610408004
286,kiama,-34.6833,150.8667,80.01,73,100,11.99,AU,1610408243
287,castro,-24.7911,-50.0119,67.8,96,41,8.1,BR,1610408243
288,scarborough,54.2797,-0.4044,44.01,93,100,4.0,GB,1610408243
289,quang ngai,15.1167,108.8,60.31,89,99,11.54,VN,1610408243
290,port hardy,50.6996,-127.4199,48.2,81,75,20.71,CA,1610408244
291,tricase,39.9304,18.3553,46.0,100,20,4.61,IT,1610408244
292,zyryanka,65.75,150.85,-40.86,81,53,1.83,RU,1610408244
293,helena,46.5927,-112.0361,30.2,59,1,3.85,US,1610408245
294,nikolskoye,59.7035,30.7861,8.6,85,75,11.18,RU,1610408245
295,adrar,20.5022,-10.0711,57.0,38,100,9.24,MR,1610408245
296,tessalit,20.1986,1.0114,61.74,29,0,10.89,ML,1610408243
297,oshawa,43.9001,-78.8496,30.99,74,90,17.27,CA,1610407982
298,zhigansk,66.7697,123.3711,-43.94,79,76,9.95,RU,1610408245
299,porto novo,6.4965,2.6036,80.6,94,20,9.22,BJ,1610408245
300,ukiah,39.1502,-123.2078,57.99,62,1,3.44,US,1610407981
301,seoul,37.5683,126.9778,12.2,85,75,4.61,KR,1610408161
302,kamenka,51.3223,42.7678,9.09,96,86,4.76,RU,1610408246
303,stromness,58.965,-3.296,39.2,75,40,26.46,GB,1610408246
304,maksatikha,57.797,35.8825,-5.62,92,89,5.19,RU,1610408246
305,svetlyy,54.675,20.1347,33.8,86,20,13.42,RU,1610408246
306,nicolas bravo,18.45,-88.9167,70.34,97,76,3.91,MX,1610408247
307,boyolangu,-8.1181,111.8935,79.43,79,99,0.78,ID,1610408247
308,cuamba,-14.8031,36.5372,70.36,95,100,3.44,MZ,1610408247
309,cheremisinovo,51.8855,37.2646,17.92,97,98,6.29,RU,1610408247
310,bowmore,34.9421,-79.3031,44.6,76,90,6.91,US,1610408247
311,barrow,71.2906,-156.7887,1.4,71,90,20.71,US,1610408247
312,makat,47.6469,53.3463,20.07,97,71,8.81,KZ,1610408247
313,sanchor,24.7553,71.7722,54.03,38,0,11.34,IN,1610408068
314,changli,39.7042,119.1506,15.98,78,1,5.88,CN,1610408247
315,akdepe,42.0551,59.3788,26.6,93,90,4.61,TM,1610408248
316,oda,35.1833,132.5,33.8,100,75,5.75,JP,1610408248
317,makakilo city,21.3469,-158.0858,84.2,65,40,11.5,US,1610408248
318,broome,42.2506,-75.833,32.0,80,90,4.61,US,1610408248
319,evensk,61.95,159.2333,5.52,87,100,10.07,RU,1610408248
320,haines junction,60.7522,-137.5108,17.6,93,84,2.3,CA,1610408248
321,basar,27.9833,94.6667,54.03,83,87,2.01,IN,1610408248
322,junagarh,19.8667,82.9333,64.24,62,94,1.28,IN,1610408248
323,katherine,-14.4667,132.2667,82.4,69,29,6.91,AU,1610408248
324,ruwi,23.5996,58.5507,55.4,62,0,3.44,OM,1610408249
325,conde,-7.2597,-34.9075,78.8,83,40,5.75,BR,1610408249
326,saldanha,-33.0117,17.9442,64.4,72,0,4.61,ZA,1610408249
327,ishigaki,24.3448,124.1572,53.6,82,75,18.41,JP,1610408249
328,grand gaube,-20.0064,57.6608,79.0,88,98,8.99,MU,1610408249
329,mountain home,43.133,-115.6912,39.2,56,1,17.27,US,1610408107
330,finschhafen,-6.6024,147.8681,86.34,67,100,3.65,PG,1610408249
331,keokuk,40.3973,-91.3849,35.6,80,1,10.36,US,1610408249
332,kodiak,57.79,-152.4072,35.6,93,90,3.44,US,1610408249
333,pachino,36.7186,15.0907,51.01,87,17,9.15,IT,1610408249
334,savannakhet,16.566,104.751,51.62,50,95,15.1,LA,1610408249
335,okato,-39.2,173.8833,72.0,74,1,7.0,NZ,1610408250
336,norsup,-16.0667,167.3833,86.22,67,100,6.82,VU,1610408250
337,sept-iles,50.2001,-66.3821,19.4,68,20,5.75,CA,1610408173
338,ipameri,-17.7219,-48.1597,72.91,89,98,2.1,BR,1610408250
339,belyy yar,53.6039,91.3903,1.4,66,40,8.95,RU,1610408250
340,homer,59.6425,-151.5483,37.99,81,75,13.8,US,1610408250
341,walvis bay,-22.9575,14.5053,69.01,77,82,8.05,NA,1610408250
342,upernavik,72.7868,-56.1549,22.66,95,81,25.39,GL,1610408250
343,san felipe,10.3399,-68.7425,70.25,91,96,4.23,VE,1610408250
344,vostok,46.4856,135.8833,-0.8,86,99,3.36,RU,1610408250
345,baihar,22.1,80.55,59.16,68,28,1.74,IN,1610408251
346,cabo san lucas,22.8909,-109.9124,71.01,49,1,10.36,MX,1610408172
347,severo-kurilsk,50.6789,156.125,23.95,90,96,25.34,RU,1610408251
348,jackson,42.4165,-122.8345,46.0,76,40,3.44,US,1610408251
349,talikota,16.4833,76.3167,69.78,63,100,5.08,IN,1610408251
350,dryden,49.7833,-92.7503,23.0,93,75,9.22,CA,1610408251
351,boende,-0.2167,20.8667,73.85,71,0,0.67,CD,1610408251
352,natchez,31.5604,-91.4032,35.6,80,90,10.36,US,1610408052
353,lamar,33.6668,-95.5836,44.6,45,1,6.91,US,1610408252
354,san quintin,30.4833,-115.95,64.2,40,0,3.8,MX,1610407978
355,chara,56.9064,118.2631,-22.5,74,100,0.78,RU,1610408252
356,gwadar,25.1216,62.3254,62.35,29,0,10.22,PK,1610408252
357,dunedin,-45.8742,170.5036,63.28,65,0,6.26,NZ,1610408252
358,kyra,49.5776,111.9753,-3.46,86,98,4.14,RU,1610408252
359,dinguiraye,11.3,-10.7167,72.25,29,9,3.91,GN,1610408252
360,ascension,30.2169,-90.9001,41.0,81,90,12.66,US,1610408253
361,clyde river,70.4692,-68.5914,1.4,92,90,14.97,CA,1610408253
362,mount isa,-20.7333,139.5,87.8,48,1,8.05,AU,1610408253
363,najran,17.4924,44.1277,51.8,43,0,2.37,SA,1610408253
364,poum,-20.2333,164.0167,82.74,77,92,3.18,NC,1610408253
365,santiago del estero,-27.7951,-64.2615,81.14,68,14,6.69,AR,1610408253
366,sur,22.5667,59.5289,65.41,50,2,11.74,OM,1610408010
367,ekhabi,53.5102,142.9671,-14.44,87,100,4.38,RU,1610408253
